X;Y;AREA;INTERSECCI;CALLE_2;CALLE_1;CONTROLADO;DIRECCION NORMALIZADA;CALLE;CRUCE
-58,4182588685428;-34,583581295304;3;SANTA FE AV.-ARMENIA;ARMENIA;SANTA FE AV.;SIEMENS CLS214PLUS;ARMENIA Y SANTA FE AV.;ARMENIA;SANTA FE AV.
-58,5045115808980;-34,583712932564;7;NAZCA-LADINES;LADINES;NAZCA;MANTELEC;LADINES Y NAZCA;LADINES;NAZCA
-58,4230677822433;-34,583729104688;3;CHARCAS- JORGE L BORGES;JORGE L BORGES;CHARCAS;SIEMENS STC M4-20;BORGES, JORGE LUIS Y CHARCAS;BORGES, JORGE LUIS;CHARCAS
-58,4436085630746;-34,583742527756;4;VEGA NICETO CNEL.-AREVALO;AREVALO;VEGA NICETO CNEL.;AUTOTROL CT800DMC;AREVALO Y VEGA, NICETO, CNEL. AV.;AREVALO;VEGA, NICETO, CNEL. AV.
-58,4672934481429;-34,583806728158;7;TRIUNVIRATO AV. - PLAZA;PLAZA;TRIUNVIRATO AV.;SIEMENS CLS95;PLAZA Y TRIUNVIRATO AV.;PLAZA;TRIUNVIRATO AV.
-58,4464285699463;-34,583807740077;4;CORDOBA AV.-ARENAL CONCEPCION;ARENAL CONCEPCION;CORDOBA AV.;AUTOTROL CT800DMC;ARENAL, CONCEPCION Y CORDOBA AV.;ARENAL, CONCEPCION;CORDOBA AV.
-58,4492173391166;-34,583829784263;4;NEWBERY JORGE-CHARLONE;CHARLONE;NEWBERY JORGE;AUTOTROL CT800DMC;CHARLONE Y NEWBERY, JORGE AV.;CHARLONE;NEWBERY, JORGE AV.
-58,4012185017341;-34,583881146510;3;LAS HERAS AV.-PEREYRA LUCENA;PEREYRA LUCENA;LAS HERAS AV.;SIEMENS STC M4-20;PEREYRA LUCENA Y LAS HERAS GENERAL AV.;PEREYRA LUCENA;LAS HERAS GENERAL AV.
-58,4106558674613;-34,583942202871;3;SALGUERO JERONIMO- FRENCH - JULIAN ALVAREZ;FRENCH - JULIAN ALVAREZ;SALGUERO JERONIMO;SIEMENS STC M4-20;FRENCH Y SALGUERO, JERONIMO;FRENCH;SALGUERO, JERONIMO
-58,4251796966580;-34,583945209040;3;PARAGUAY-THAMES;THAMES;PARAGUAY;SIEMENS STC M4-20;THAMES Y PARAGUAY;THAMES;PARAGUAY
