WKT;ID_DATA;ID_AREA;OBJETO;NOMBRE;ETAPA;AÑO;CALLE_A;ALTURA_DES;ALTURA_HAS;DIRECCIONN;CALLE;ALTURA;GEOCODIFIC;BARRIO;COMUNA;CODIGO_POS;CODIGO_P_1
MULTILINESTRING ((-58.4108834277608 -34.6521618122539,-58.409184357584 -34.651775574023));102;120;SENDERO SEGURO;POMPEYA;V;2011;LYNCH;3500;NA;LYNCH 3500;LYNCH;3500;POINT(104971.754486 97500.9992842);NUEVA POMPEYA;COMUNA 4;1437;C1437HOB
MULTILINESTRING ((-58.409184357584 -34.651775574023,-58.4087891629676 -34.6527340198826));103;121;SENDERO SEGURO;POMPEYA;V;2011;DIOGENES TABORDA;1100;NA;TABORDA, DIOGENES 1100;TABORDA, DIOGENES;1100;POINT(104962.348245 97513.6739673);NUEVA POMPEYA;COMUNA 4;1437;C1437EGD
MULTILINESTRING ((-58.4087891629676 -34.6527340198826,-58.4074054951187 -34.6517083699362,-58.4071627426812 -34.6515244072358,-58.4068073909594 -34.6512337873776,-58.4062370698858 -34.6507673135528,-58.4057200299482 -34.6503444128061,-58.4054437224725 -34.6501283284222,-58.4052271312789 -34.6502654887266,-58.4061092378913 -34.6510207125582,-58.4066802452069 -34.6514820462794,-58.4073018383428 -34.6520065007496,-58.4079471484644 -34.652504412581,-58.408601251854 -34.6529905639517,-58.4086971148261 -34.652878067913,-58.4087891629676 -34.6527340198826));104;122;SENDERO SEGURO;POMPEYA;V;2011;AV. AMANCIO ALCORTA;3200;3400;ALCORTA, AMANCIO AV. 3200;ALCORTA, AMANCIO AV.;3200;POINT(105356.232739 97685.1601609);NUEVA POMPEYA;COMUNA 4;1437;C1437HUO
MULTILINESTRING ((-58.4754959413785 -34.5393728584904,-58.4752157282286 -34.5397421222897,-58.4749273700107 -34.5399878354053,-58.474355983373 -34.5407599002593,-58.4737862880692 -34.5415297789865,-58.4732359839326 -34.5422734548528,-58.4726918820423 -34.5430086765349,-58.4720939035441 -34.5438167202264,-58.4715370166449 -34.5445693327527,-58.4710125433275 -34.5452789806659));105;123;SENDERO SEGURO;SAAVEDRA;V;2011;AV. CABILDO;4200;5000;CABILDO AV. 4200;CABILDO AV.;4200;POINT(99286.1370631 109301.64113);SAAVEDRA;COMUNA 12;1429;C1429AAZ
MULTILINESTRING ((-58.4710125433275 -34.5452789806659,-58.4717774551179 -34.5455540043587,-58.4720301032992 -34.5456378677915,-58.4724964559453 -34.5458022756562,-58.4735091769625 -34.5461593901662,-58.4745007973642 -34.546509033156,-58.4754840829159 -34.5468458514405,-58.476482270811 -34.5471789979623));106;124;SENDERO SEGURO;SAAVEDRA;V;2011;BESARES;2400;2900;BESARES 2400;BESARES;2400;POINT(99302.9734961 109316.955852);NUÑEZ;COMUNA 13;1429;C1429DIL
MULTILINESTRING ((-58.4754959413785 -34.5393728584904,-58.4755355694637 -34.5397640972357,-58.4754136616582 -34.5401209964544,-58.4750127032725 -34.540945689808,-58.4748182068763 -34.5413644617541,-58.4746232816722 -34.5417740076097,-58.4742210853881 -34.5425986631172,-58.4741210588232 -34.542803695012,-58.4738343670451 -34.5433913424255,-58.4734046644692 -34.5442179694566,-58.4730283933109 -34.5449269920541,-58.4728713680861 -34.5450142499874,-58.4724964559453 -34.5458022756562));107;125;SENDERO SEGURO;SAAVEDRA;V;2011;AV. SAN ISIDRO LABRADOR;4100;4800;SAN ISIDRO LABRADOR AV. 4100;SAN ISIDRO LABRADOR AV.;4100;POINT(99293.5428246 109196.485398);SAAVEDRA;COMUNA 12;1429;C1429ADO
MULTILINESTRING ((-58.4750127032725 -34.540945689808,-58.4760313299182 -34.5412784861547,-58.4769020374342 -34.5415629791042,-58.4779097845026 -34.54189216929,-58.4789117520651 -34.542221351908));108;126;SENDERO SEGURO;SAAVEDRA;V;2011;PICO;2500;2800;PICO 2500;PICO;2500;POINT(98936.6710324 109796.394989);SAAVEDRA;COMUNA 12;1429;C1429EFP
MULTILINESTRING ((-58.4789117520651 -34.542221351908,-58.4785029591585 -34.5430556706755,-58.478099518058 -34.5438789304232,-58.4777031307126 -34.5446877505574));109;127;SENDERO SEGURO;SAAVEDRA;V;2011;CONESA;4500;4700;CONESA 4500;CONESA;4500;POINT(98677.9337256 109371.704305);SAAVEDRA;COMUNA 12;1429;C1429AMF
MULTILINESTRING ((-58.4777031307126 -34.5446877505574,-58.4767047120388 -34.5443526419783));110;128;SENDERO SEGURO;SAAVEDRA;V;2011;RAMALLO;2800;NA;RAMALLO 2800;RAMALLO;2800;POINT(98780.5466286 109420.00446);SAAVEDRA;COMUNA 12;1429;C1429DUV
MULTILINESTRING ((-58.4767047120388 -34.5443526419783,-58.4771026404928 -34.543549881484));111;129;SENDERO SEGURO;SAAVEDRA;V;2011;CRAMER;4400;NA;CRAMER 4400;CRAMER;4400;POINT(98769.4687208 109408.832372);SAAVEDRA;COMUNA 12;1429;C1429AKF
MULTILINESTRING ((-58.478099518058 -34.5438789304232,-58.4771026404928 -34.543549881484,-58.4760969188161 -34.5432178674711,-58.4751809155647 -34.5429155557467,-58.4742210853881 -34.5425986631172));112;130;SENDERO SEGURO;SAAVEDRA;V;2011;ARIAS;2500;2800;ARIAS 2500;ARIAS;2500;POINT(99035.3211015 109624.699323);SAAVEDRA;COMUNA 12;1429;C1429DXP
MULTILINESTRING ((-58.4749010525748 -34.5456876874637,-58.4739054426715 -34.545358330692,-58.4728713680861 -34.5450142499874));113;131;SENDERO SEGURO;SAAVEDRA;V;2011;RUIZ HUIDOBRO;2500;2600;RUIZ HUIDOBRO 2500;RUIZ HUIDOBRO;2500;POINT(99145.5902778 109351.684126);SAAVEDRA;COMUNA 12;1429;C1429DNN
MULTILINESTRING ((-58.4021703724858 -34.6237804842333,-58.4018453480072 -34.6252012160836,-58.4015738999154 -34.6263902051941,-58.4013743671001 -34.6272083720922,-58.4013286903575 -34.627455610963,-58.4011008978525 -34.6286932841291));114;132;SENDERO SEGURO;SAN CRISTOBAL II;V;2013;AV. JUJUY;1200;1500;JUJUY AV. 1200;JUJUY AV.;1200;POINT(105613.010713 100619.322686);SAN CRISTOBAL;COMUNA 3;1229;C1229ABT
MULTILINESTRING ((-58.442590379703 -34.5963517815509,-58.4436850520033 -34.5972436818238,-58.444692297402 -34.598063443817,-58.4457067159008 -34.5988867900758));115;133;SENDERO SEGURO;VILLA CRESPO II;V;2013;SERRANO;100;500;SERRANO 100;SERRANO;100;POINT(101510.280199 103275.839631);VILLA CRESPO;COMUNA 15;1414;C1414DEB
MULTILINESTRING ((-58.4400879204057 -34.6032062543205,-58.4397731818506 -34.6030042865453,-58.4385107514931 -34.6021942938169,-58.4372881972797 -34.6014098605897));116;138;SENDERO SEGURO;VILLA CRESPO II;V;2013;JULIAN ALVAREZ;100;300;ALVAREZ, JULIAN 100;ALVAREZ, JULIAN;100;POINT(102146.504278 102911.475832);VILLA CRESPO;COMUNA 15;1414;C1414DRB
